RedFighter,BlueFighter,AggressionScore,RedFinishingProb,BlueFinishingProb,RedStrikeGrapple,BlueStrikeGrapple,FightPace,SurvivabilityIndex,BettingEdgeIndex
Zhang Weili,Rose Namajunas,0.024127021417669196,NA,0.2583333333333333,NA,0.48148148148148145,NA,NA,0.2962962962962963
Valentina Shevchenko,Jessica Andrade,3.0344703002891917e-4,0.5303703703703704,0.2159090909090909,0.2446043165467626,0.4117647058823529,NA,NA,0.600790513833992
Uriah Hall,Chris Weidman,0.9525741268224334,0.3924466338259442,0.3138461538461539,0.0867579908675799,0.5116279069767442,NA,NA,0.19871794871794873
Anthony Smith,Jimmy Crute,0.9900481981330957,0.2583333333333333,0.5023584905660378,0.48148148148148145,0.1907514450867052,NA,NA,0.391705069124424
Robert Whittaker,Kelvin Gastelum,0.01098694263059318,0.38461538461538464,0.26666666666666666,0.15789473684210525,0.2222222222222222,NA,NA,0.3822760750772155
Marvin Vettori,Kevin Holland,0.0047257126023954816,0.5438596491228069,0.2673992673992674,0.6521739130434783,0.26153846153846155,NA,NA,0.4537346711259755
Arnold Allen,Sodiq Yusuff,0.9478464369215823,0.25098039215686274,0.35238095238095235,0.4642857142857143,0.15151515151515152,NA,NA,0.182311222361285
Nina Nunes,Mackenzie Dern,0.09975048911968513,0.22424242424242424,0.35757575757575755,0.3939393939393939,0.7843137254901961,NA,NA,0.045454545454545414
Stipe Miocic,Francis Ngannou,0.9268988265776218,0.35238095238095235,0.6036789297658863,0.15151515151515152,0,NA,NA,0.11722957864240025
Tyron Woodley,Vicente Luque,0.9758729785823308,0.22549019607843135,0.42857142857142855,0.23809523809523808,0.29411764705882354,NA,NA,0.2962962962962963
Gillian Robertson,Miranda Maverick,0.9370266439430035,0.3222222222222222,0.28431372549019607,0.72,0.4,NA,NA,0.14739229024943312
Derek Brunson,Kevin Holland,0.9791636554813196,0.26515151515151514,0.5984496124031008,0.2903225806451613,0.1503267973856209,NA,NA,0.313782991202346
Marion Reneau,Macy Chiasson,0.9836975006285591,0.27192982456140347,0.26666666666666666,0.6296296296296297,0.35714285714285715,NA,NA,0.34143049932523617
Misha Cirkunov,Ryan Spann,0.09112296101485616,0.5303030303030303,0.4698275862068966,0.7407407407407407,0.21348314606741572,NA,NA,0.06775067750677505
Dan Ige,Gavin Tucker,0.027922573784073024,0.2777777777777778,0.225,0.38461538461538464,0.5625,NA,NA,0.2778139232270658
